user_id,course_id,year,user_course_state,assignment_id1,course_type,id,courseId,u_id,ass_id,completedOn,certificate_type,Nr_Certificates_for_the_same_year,is_certificate_a_duplicate,rn,month,day,completedOn_ts,exam_userId,examId,exam_assignmentId,exam_courseId,totalQuestions,countOfExamQuestions,questionsPerPage,resultPercentage,correctAnswers,questionsCount,hasPassed,exam_date,Nr_attempt_for_an_exam,rn_exam
U_46a0899b7f2a,CRS_c1c08b7f7539,null,NOTSTARTED,A_94b3fd9544f4,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_041ad1fef698,CRS_833d4acee231,null,NOTSTARTED,A_2eda457ecd22,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_bac3c7ce3bd7,CRS_34a2beae085e,null,NOTSTARTED,A_4f0ce9ee8380,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_9c0c7d492f8d,CRS_9f65f02faa64,null,NOTSTARTED,A_ef7f137780a4,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_450f290b978c,CRS_e98f26efa907,null,NOTSTARTED,A_071590797eb9,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_218c9547b0f7,CRS_e22f9c7808d8,null,NOTSTARTED,A_ec30e9de3afb,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_906873511089,CRS_e10a027f7c6d,null,NOTSTARTED,A_4edd5da141a8,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_07d1cc9300db,CRS_66077270863c,null,NOTSTARTED,A_ded93e57c41f,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_07d1cc9300db,CRS_cdb1fd03f2e0,null,NOTSTARTED,A_f46357bf7389,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_7fdcef25163f,CRS_e10a027f7c6d,null,NOTSTARTED,A_90d0ac89db65,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_cdc7eef6e8a0,CRS_0e8d02cc5c4b,null,NOTSTARTED,A_fdbcfb660ae3,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_3b60c58be84a,CRS_f031f59a8b39,null,NOTSTARTED,A_cc27db946c2f,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_4422bb58cbde,CRS_31c7b1de3f81,null,NOTSTARTED,A_e1b87af07e60,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_2100a7c28883,CRS_cc72e02e0ac5,null,NOTSTARTED,A_aecd6f36c92d,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_2e8b44ab1004,CRS_990a57605901,null,NOTSTARTED,A_1a0e1ecb36cc,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_ba7e9cd80725,CRS_5554a6571471,null,NOTSTARTED,A_fe7584aded03,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_6ae636507939,CRS_dfe44530fb0f,null,NOTSTARTED,A_742234741dec,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_adca7d358225,CRS_e21323f72bdb,null,NOTSTARTED,A_6efff52d63df,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_9bd3f5d0b6cc,CRS_7f9c8c78c6c6,null,NOTSTARTED,A_4f9ce3173d24,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
U_2b192648d3db,CRS_31c7b1de3f81,null,NOTSTARTED,A_e69574b53502,Pflichtkurs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
