course_id1,course_name,course_duration_in_min,course_description,course_status,course_rbp,course_cne_available,course_cme_available
CRS_d345574daec2,Überblick über das Ulcus cruris arteriosum,45.0,Dieser Kurs vermittelt Fachpflegenden Informationen zur Versorgung des Ulcus cruris arteriosum. ,RELEASED,null,false,false
CRS_02a1775b4d4c,Arzneimittel - Psychopharmaka,60.0,"In diesem Kurs lernen Sie, was Psychopharmaka sind, wie sie wirken und was bei der Anwendung zu beachten ist.",RELEASED,1,false,true
CRS_6637077c37b2,Richtig handeln bei Hitze im Krankenhaus - kurz wiederholt,15.0,"Dieser Kurs wiederholt kurz und knapp, wie Hitze die Gesundheit gefährdet, hitzebedingte Risiken und Symptome erkannt und passende Maßnahmen eingeleitet werden.",RELEASED,null,false,false
CRS_a83c8a46fcdb,Assessment von Dekubitalulzera an den Schleimhäuten,15.0,Dieser Kurs vermittelt klinische Verfahren und Überlegungen im Zusammenhang mit der Beurteilung und Dokumentation von Dekubitus der Schleimhaut.,RELEASED,null,false,false
CRS_438e5b505de5,Lebensmittelhygiene - Kurs Erstunterweisung,45.0,"Das Ziel dieses Kurses ist zu ermitteln, wie man Lebensmittel behandeln soll und warum ein sauberer Umgang mit Lebensmitteln so unerlässlich ist.",ARCHIVED,1,false,false
CRS_fc8c4af73acf,Korruptionsbekämpfung in der Pflege,30.0,"Pflegende lernen, Korruption zu erkennen, zu vermeiden und dagegen vorzugehen.",RELEASED,1,false,false
CRS_e29b2aaf0530,Arbeitsschutz für Service- und Logistikpersonal in Pflegeeinrichtungen,30.0,"Sie lernen, wie Sie sich vor Arbeitsunfällen und anderen Schäden schützen.",RELEASED,null,false,false
CRS_7c5e69f2ba22,Datenschutz - Lerneinheit für Pflegende in Pflegeeinrichtungen,45.0,"Sie erfahren, was Sie zur Einhaltung des Datenschutzrechts und der arbeitsvertraglichen Verschwiegenheitspflichten beachten müssen.",RELEASED,1,false,false
CRS_f58ac7fed739,Pro on the Go - Pflegewissen zu KHK,15.0,"Der Kurs vermittelt Ihnen, worauf Sie bei der Versorgung von Menschen mit KHK achten müssen und wie Sie sich im Notfall verhalten müssen.",RELEASED,null,true,false
CRS_630becff3fa0,Datenschutz - Kurs Basiswissen für Pflegeeinrichtungen - Evangelisches Datenschutzrecht,45.0,"Sie lernen, mit personenbezogenen Daten umzugehen und den Datenschutz in evangelischen Einrichtungen zu beachten.",ARCHIVED,1,false,false
CRS_c3437f0e2f0c,Blutdruck messen in 90 Sekunden erklärt,0.0,Dieser Kurs im Kurzformat beinhaltet ausschließlich ein kurzes Video.,RELEASED,null,false,false
CRS_b85526d1c54c,Abfallentsorgung in Gesundheitseinrichtungen (ohne Audio),30.0,Dieser Kurs vermittelt die speziellen Erfordernisse einer verantwortungsvollen Abfallentsorgung in Gesundheitseinrichtungen.,RELEASED,null,false,false
CRS_045eef44b84b,Expertenstandard Dekubitusprophylaxe in der ambulanten Pflege,60.0,Dieser Kurs ist für ambulante Pflegeeinrichtungen geeignet und richtet sich an Pflegende mit Qualifikationen unterschiedlicher Art.,ARCHIVED,1,false,false
CRS_2b1d70c43b6c,Künstliche Intelligenz im Gesundheitswesen,30.0,"Der Kurs gibt Mitarbeitenden Einblicke in Bedeutung, Nutzen, Risiken, Herausforderungen und Entwicklungen von KI im Gesundheitswesen.",RELEASED,null,false,false
CRS_72dda155fb96,Gefahrstoffe im Krankenhaus sicher transportieren und lagern - Lerneinheit,45.0,Mitarbeitende im Transportdienst und in Apotheken im Krankenhaus lernen den sicheren Umgang mit Gefahrstoffen.,RELEASED,null,false,false
CRS_94458ced50fa,Demenz - Lerneinheit Menschen mit Demenz verstehen: Alltagsaktivitäten üben und ausführen,60.0,"In dieser Lerneinheit erfahren Sie, wie Sie Menschen mit Demenz bei der Ausführung von Alltagsaktivitäten unterstützen können.",RELEASED,1,true,false
